"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EXW3ZRK8","journalArticle","2014","Card, Daren C.; Schield, Drew R.; Reyes-Velasco, Jacobo; Fujita, Matthew K.; Andrew, Audra L.; Oyler-McCance, Sara J.; Fike, Jennifer A.; Tomback, Diana F.; Ruggiero, Robert P.; Castoe, Todd A.","Two Low Coverage Bird Genomes and a Comparison of Reference-Guided versus De Novo Genome Assemblies","PLOS ONE","","1932-6203","10.1371/journal.pone.0106649","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0106649","As a greater number and diversity of high-quality vertebrate reference genomes become available, it is increasingly feasible to use these references to guide new draft assemblies for related species. Reference-guided assembly approaches may substantially increase the contiguity and completeness of a new genome using only low levels of genome coverage that might otherwise be insufficient for de novo genome assembly. We used low-coverage (∼3.5–5.5x) Illumina paired-end sequencing to assemble draft genomes of two bird species (the Gunnison Sage-Grouse, Centrocercus minimus, and the Clark's Nutcracker, Nucifraga columbiana). We used these data to estimate de novo genome assemblies and reference-guided assemblies, and compared the information content and completeness of these assemblies by comparing CEGMA gene set representation, repeat element content, simple sequence repeat content, and GC isochore structure among assemblies. Our results demonstrate that even lower-coverage genome sequencing projects are capable of producing informative and useful genomic resources, particularly through the use of reference-guided assemblies.","2014-09-05","2018-01-19 20:02:07","2018-01-22 14:58:43","2018-01-19 20:02:07","e106649","","9","9","","PLOS ONE","","","","","","","","en","All rights reserved","","","","PLoS Journals","","00013","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/CardDC_2014_PLOS_ONE_Two_Low_Coverage_Bird_Genomes_and_a_Comparison_of_Reference-Guided_versus_De_Novo_Genome_Assemblies.pdf; /Users/darencard/Zotero/storage/MFXWKCPG/article.html","","","Genome analysis; Bird genomics; Comparative genomics; Genomic libraries; Microsatellite loci; Mitochondria; Reptile genomics; Vertebrates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CNMKVR8","journalArticle","2013","Castoe, Todd A.; Koning, A. P. Jason de; Hall, Kathryn T.; Card, Daren C.; Schield, Drew R.; Fujita, Matthew K.; Ruggiero, Robert P.; Degner, Jack F.; Daza, Juan M.; Gu, Wanjun; Reyes-Velasco, Jacobo; Shaney, Kyle J.; Castoe, Jill M.; Fox, Samuel E.; Poole, Alex W.; Polanco, Daniel; Dobry, Jason; Vandewege, Michael W.; Li, Qing; Schott, Ryan K.; Kapusta, Aurélie; Minx, Patrick; Feschotte, Cédric; Uetz, Peter; Ray, David A.; Hoffmann, Federico G.; Bogden, Robert; Smith, Eric N.; Chang, Belinda S. W.; Vonk, Freek J.; Casewell, Nicholas R.; Henkel, Christiaan V.; Richardson, Michael K.; Mackessy, Stephen P.; Bronikowski, Anne M.; Yandell, Mark; Warren, Wesley C.; Secor, Stephen M.; Pollock, David D.","The Burmese python genome reveals the molecular basis for extreme adaptation in snakes","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1314475110","http://www.pnas.org/content/110/51/20645","Snakes possess many extreme morphological and physiological adaptations. Identification of the molecular basis of these traits can provide novel understanding for vertebrate biology and medicine. Here, we study snake biology using the genome sequence of the Burmese python (Python molurus bivittatus), a model of extreme physiological and metabolic adaptation. We compare the python and king cobra genomes along with genomic samples from other snakes and perform transcriptome analysis to gain insights into the extreme phenotypes of the python. We discovered rapid and massive transcriptional responses in multiple organ systems that occur on feeding and coordinate major changes in organ size and function. Intriguingly, the homologs of these genes in humans are associated with metabolism, development, and pathology. We also found that many snake metabolic genes have undergone positive selection, which together with the rapid evolution of mitochondrial proteins, provides evidence for extensive adaptive redesign of snake metabolic pathways. Additional evidence for molecular adaptation and gene family expansions and contractions is associated with major physiological and phenotypic adaptations in snakes; genes involved are related to cell cycle, development, lungs, eyes, heart, intestine, and skeletal structure, including GRB2-associated binding protein 1, SSH, WNT16, and bone morphogenetic protein 7. Finally, changes in repetitive DNA content, guanine-cytosine isochore structure, and nucleotide substitution rates indicate major shifts in the structure and evolution of snake genomes compared with other amniotes. Phenotypic and physiological novelty in snakes seems to be driven by system-wide coordination of protein adaptation, gene expression, and changes in the structure of the genome.","2013-12-17","2018-01-19 20:03:39","2018-01-22 14:58:43","2018-01-19 20:03:39","20645-20650","","51","110","","PNAS","","","","","","","","en","All rights reserved","","","","www.pnas.org","","00137  PMID: 24297902","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/CastoeTC_2013_PNAS_The_Burmese_python_genome_reveals_the_molecular_basis_for_extreme_adaptation_in_snakes.pdf; ; /Users/darencard/Zotero/storage/P2ZNRGJJ/20645.html","http://www.ncbi.nlm.nih.gov/pubmed/24297902","","comparative genomics; physiological remodeling; systems biology; transcriptomics; transposable elements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDWSSW93","journalArticle","2015","Reyes-Velasco, Jacobo; Card, Daren C.; Andrew, Audra L.; Shaney, Kyle J.; Adams, Richard H.; Schield, Drew R.; Casewell, Nicholas R.; Mackessy, Stephen P.; Castoe, Todd A.","Expression of Venom Gene Homologs in Diverse Python Tissues Suggests a New Model for the Evolution of Snake Venom","Molecular Biology and Evolution","","0737-4038","10.1093/molbev/msu294","https://academic.oup.com/mbe/article/32/1/173/2925580","Snake venom gene evolution has been studied intensively over the past several decades, yet most previous studies have lacked the context of complete snake genomes and the full context of gene expression across diverse snake tissues. We took a novel approach to studying snake venom evolution by leveraging the complete genome of the Burmese python, including information from tissue-specific patterns of gene expression. We identified the orthologs of snake venom genes in the python genome, and conducted detailed analysis of gene expression of these venom homologs to identify patterns that differ between snake venom gene families and all other genes. We found that venom gene homologs in the python are expressed in many different tissues outside of oral glands, which illustrates the pitfalls of using transcriptomic data alone to define “venom toxins.” We hypothesize that the python may represent an ancestral state prior to major venom development, which is supported by our finding that the expansion of venom gene families is largely restricted to highly venomous caenophidian snakes. Therefore, the python provides insight into biases in which genes were recruited for snake venom systems. Python venom homologs are generally expressed at lower levels, have higher variance among tissues, and are expressed in fewer organs compared with all other python genes. We propose a model for the evolution of snake venoms in which venom genes are recruited preferentially from genes with particular expression profile characteristics, which facilitate a nearly neutral transition toward specialized venom system expression.","2015-01-01","2018-01-21 00:46:44","2018-01-22 03:18:03","2018-01-21 00:46:44","173-183","","1","32","","Mol Biol Evol","","","","","","","","en","All rights reserved","","","","academic.oup.com","","00000","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/Reyes-VelascoJR_2015_Mol_Biol_Evol_Expression_of_Venom_Gene_Homologs_in_Diverse_Python_Tissues_Suggests_a_New_Model_for_the_Evolution_of_Snake_Venom.pdf; /Users/darencard/Zotero/storage/WQ2SDTWY/2925580.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KC4F9QR","journalArticle","2015","Schield, Drew R.; Card, Daren C.; Adams, Richard H.; Jezkova, Tereza; Reyes-Velasco, Jacobo; Proctor, F. Nicole; Spencer, Carol L.; Herrmann, Hans-Werner; Mackessy, Stephen P.; Castoe, Todd A.","Incipient speciation with biased gene flow between two lineages of the Western Diamondback Rattlesnake (Crotalus atrox)","Molecular Phylogenetics and Evolution","","1055-7903","10.1016/j.ympev.2014.12.006","http://www.sciencedirect.com/science/article/pii/S1055790314004242","We used mitochondrial DNA sequence data from 151 individuals to estimate population genetic structure across the range of the Western Diamondback Rattlesnake (Crotalus atrox), a widely distributed North American pitviper. We also tested hypotheses of population structure using double-digest restriction site associated DNA (ddRADseq) data, incorporating thousands of nuclear genome-wide SNPs from 42 individuals. We found strong mitochondrial support for a deep divergence between eastern and western C. atrox populations, and subsequent intermixing of these populations in the Inter-Pecos region of the United States and Mexico. Our nuclear RADseq data also identify these two distinct lineages of C. atrox, and provide evidence for nuclear admixture of eastern and western alleles across a broad geographic region. We identified contrasting patterns of mitochondrial and nuclear genetic variation across this genetic fusion zone that indicate partially restricted patterns of gene flow, which may be due to either pre- or post-zygotic isolating mechanisms. The failure of these two lineages to maintain complete genetic isolation, and evidence for partially-restricted gene flow, imply that these lineages were in the early stages of speciation prior to secondary contact.","2015-02-01","2018-01-22 21:33:38","2018-01-22 21:33:38","2018-01-22 21:33:38","213-223","","","83","","Molecular Phylogenetics and Evolution","","","","","","","","","All rights reserved","","","","ScienceDirect","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/SchieldDS_2015_Molecular_Phylogenetics_and_Evolution_Incipient_speciation_with_biased_gene_flow_between_two_lineages_of_the_Western_Diamondback_Rattlesnake_(Crotalus_atrox).pdf; /Users/darencard/Zotero/storage/7MEZ9IJP/S1055790314004242.html","","","Introgression; RADseq; Population genomics; Population structure; Speciation continuum; Viperidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIWB9QDY","journalArticle","2015","Jezkova, Tereza; Riddle, Brett R.; Card, Daren C.; Schield, Drew R.; Eckstut, Mallory E.; Castoe, Todd A.","Genetic consequences of postglacial range expansion in two codistributed rodents (genus Dipodomys) depend on ecology and genetic locus","Molecular Ecology","","1365-294X","10.1111/mec.13012","http://onlinelibrary.wiley.com/doi/10.1111/mec.13012/full","How does range expansion affect genetic diversity in species with different ecologies, and do different types of genetic markers lead to different conclusions? We addressed these questions by assessing...","2015-01-01","2018-01-22 21:34:45","2018-01-22 21:34:45","2018-01-22 21:34:45","83-97","","1","24","","","","","","","","","","en","All rights reserved","","","","onlinelibrary.wiley.com.ezproxy.uta.edu","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/JezkovaTJ_2015_Molecular_Ecology_Genetic_consequences_of_postglacial_range_expansion_in_two_codistributed_rodents_(genus_Dipodomys)_depend_on_ecology_and_genetic_locus.pdf; /Users/darencard/Zotero/storage/854NVHQH/full.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUND5QTJ","journalArticle","2016","Schield, Drew R.; Walsh, Matthew R.; Card, Daren C.; Andrew, Audra L.; Adams, Richard H.; Castoe, Todd A.","EpiRADseq: scalable analysis of genomewide patterns of methylation using next-generation sequencing","Methods in Ecology and Evolution","","2041-210X","10.1111/2041-210X.12435","http://onlinelibrary.wiley.com/doi/10.1111/2041-210X.12435/abstract","* Research addressing the role of epigenetics in a diversity of experimental and natural systems is rapidly accumulating. Diverse methods have been developed to study epigenetic states, including bisulphite sequencing and AFLP-based approaches. However, existing methods are sometimes difficult to apply to non-traditional model organisms that lack genomic resources (bisulphite sequencing), and can fail to be economical and readily scalable to diverse research questions because of reliance on traditional Sanger sequencing (AFLP approaches). * Here we develop a reduced-representation library-based approach that is scalable and economical to quantitatively compare patterns of genomewide methylation. This approach shares substantial similarity to the now widely used double digest restriction-site associated DNA sequencing-based method (ddRADseq), except that it utilizes a methylation-sensitive restriction enzyme. This method therefore identifies changes in the genomic methylation state of cytosine (to 5-methylcytosine; 5mC) by sampling loci (via next-generation sequencing) that are not methylated within a sample. We test this method to identify shifts in the epigenome of clonal water fleas (Daphnia ambigua) in response to exposure to fish predator cues, which are known to induce transgenerational changes in life-history traits. * We found evidence for differential transgenerational responses (inferred via significant shifts in the methylation state of sampled loci) to predator cues among our treatment groups and remarkably consistent responses within treatment groups. Our results demonstrate that this method is capable of producing highly repeatable results even without the use of a reference genome. * Applications of this general method are broad and diverse and include the analysis of epigenetic shifts in both experimental and natural study systems.","2016-01-01","2018-01-23 00:55:09","2018-01-23 00:55:09","2018-01-23 00:55:09","60-69","","1","7","","Methods Ecol Evol","EpiRADseq","","","","","","","en","All rights reserved","","","","Wiley Online Library","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/SchieldDS_2016_Methods_Ecol_Evol_EpiRADseq_-_scalable_analysis_of_genomewide_patterns_of_methylation_using_next-generation_sequencing.pdf; /Users/darencard/Zotero/storage/PKHU98C5/abstract.html","","","epigenetics; CpG methylation; Daphnia; high-throughput methylation measurement; restriction-site associated DNA sequencing; transgenerational shift","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3ZR9CMN","journalArticle","2016","Card, Daren C.; Schield, Drew R.; Adams, Richard H.; Corbin, Andrew B.; Perry, Blair W.; Andrew, Audra L.; Pasquesi, Giulia I. M.; Smith, Eric N.; Jezkova, Tereza; Boback, Scott M.; Booth, Warren; Castoe, Todd A.","Phylogeographic and population genetic analyses reveal multiple species of Boa and independent origins of insular dwarfism","Molecular Phylogenetics and Evolution","","1055-7903","10.1016/j.ympev.2016.05.034","http://www.sciencedirect.com/science/article/pii/S1055790316301245","Boa is a Neotropical genus of snakes historically recognized as monotypic despite its expansive distribution. The distinct morphological traits and color patterns exhibited by these snakes, together with the wide diversity of ecosystems they inhabit, collectively suggest that the genus may represent multiple species. Morphological variation within Boa also includes instances of dwarfism observed in multiple offshore island populations. Despite this substantial diversity, the systematics of the genus Boa has received little attention until very recently. In this study we examined the genetic structure and phylogenetic relationships of Boa populations using mitochondrial sequences and genome-wide SNP data obtained from RADseq. We analyzed these data at multiple geographic scales using a combination of phylogenetic inference (including coalescent-based species delimitation) and population genetic analyses. We identified extensive population structure across the range of the genus Boa and multiple lines of evidence for three widely-distributed clades roughly corresponding with the three primary land masses of the Western Hemisphere. We also find both mitochondrial and nuclear support for independent origins and parallel evolution of dwarfism on offshore island clusters in Belize and Cayos Cochinos Menor, Honduras.","2016-09-01","2018-01-23 00:56:05","2018-01-23 00:56:05","2018-01-23 00:56:05","104-116","","","102","","Molecular Phylogenetics and Evolution","","","","","","","","","All rights reserved","","","","ScienceDirect","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/CardDC_2016_Molecular_Phylogenetics_and_Evolution_Phylogeographic_and_population_genetic_analyses_reveal_multiple_species_of_Boa_and_independent_origins_of_insular_dwarfism.pdf; /Users/darencard/Zotero/storage/PSR4CS9C/S1055790316301245.html","","","RADseq; Population genomics; Population structure; Bayesian species delimitation; Boidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5GY9ZPJ","journalArticle","2014","Gilbert, C.; Meik, J. M.; Dashevsky, D.; Card, D. C.; Castoe, T. A.; Schaack, S.","Endogenous hepadnaviruses, bornaviruses and circoviruses in snakes","Proceedings of the Royal Society of London B: Biological Sciences","","0962-8452, 1471-2954","10.1098/rspb.2014.1122","http://rspb.royalsocietypublishing.org/content/281/1791/20141122","We report the discovery of endogenous viral elements (EVEs) from Hepadnaviridae, Bornaviridae and Circoviridae in the speckled rattlesnake, Crotalus mitchellii, the first viperid snake for which a draft whole genome sequence assembly is available. Analysis of the draft assembly reveals genome fragments from the three virus families were inserted into the genome of this snake over the past 50 Myr. Cross-species PCR screening of orthologous loci and computational scanning of the python and king cobra genomes reveals that circoviruses integrated most recently (within the last approx. 10 Myr), whereas bornaviruses and hepadnaviruses integrated at least approximately 13 and approximately 50 Ma, respectively. This is, to our knowledge, the first report of circo-, borna- and hepadnaviruses in snakes and the first characterization of non-retroviral EVEs in non-avian reptiles. Our study provides a window into the historical dynamics of viruses in these host lineages and shows that their evolution involved multiple host-switches between mammals and reptiles.","2014-09-22","2018-01-23 00:56:24","2018-01-23 00:56:24","2018-01-23 00:56:24","20141122","","1791","281","","","","","","","","","","en","© 2014 The Author(s) Published by the Royal Society. All rights reserved.","","","","rspb.royalsocietypublishing.org.ezproxy.uta.edu","","PMID: 25080342","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/GilbertCG_2014_Proceedings_of_the_Royal_Society_of_London_B_Biological_Sciences_Endogenous_hepadnaviruses,_bornaviruses_and_circoviruses_in_snakes.pdf; ; /Users/darencard/Zotero/storage/JZH43TB9/20141122.html","http://www.ncbi.nlm.nih.gov/pubmed/25080342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHK7DXSS","journalArticle","2017","Gamble, Tony; Castoe, Todd A.; Nielsen, Stuart V.; Banks, Jaison L.; Card, Daren C.; Schield, Drew R.; Schuett, Gordon W.; Booth, Warren","The Discovery of XY Sex Chromosomes in a Boa and Python","Current Biology","","0960-9822","10.1016/j.cub.2017.06.010","http://www.sciencedirect.com/science/article/pii/S096098221730711X","Summary For over 50 years, biologists have accepted that all extant snakes share the same ZW sex chromosomes derived from a common ancestor [1–3], with different species exhibiting sex chromosomes at varying stages of differentiation. Accordingly, snakes have been a well-studied model for sex chromosome evolution in animals [1, 4]. A review of the literature, however, reveals no compelling support that boas and pythons possess ZW sex chromosomes [2, 5]. Furthermore, phylogenetic patterns of facultative parthenogenesis in snakes and a sex-linked color mutation in the ball python (Python regius) are best explained by boas and pythons possessing an XY sex chromosome system [6, 7]. Here we demonstrate that a boa (Boa imperator) and python (Python bivittatus) indeed possess XY sex chromosomes, based on the discovery of male-specific genetic markers in both species. We use these markers, along with transcriptomic and genomic data, to identify distinct sex chromosomes in boas and pythons, demonstrating that XY systems evolved independently in each lineage. This discovery highlights the dynamic evolution of vertebrate sex chromosomes and further enhances the value of snakes as a model for studying sex chromosome evolution.","2017-07-24","2018-01-23 00:56:58","2018-01-23 00:56:58","2018-01-23 00:56:58","2148-2153.e4","","14","27","","Current Biology","","","","","","","","","All rights reserved","","","","ScienceDirect","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/GambleTG_2017_Current_Biology_The_Discovery_of_XY_Sex_Chromosomes_in_a_Boa_and_Python.pdf; /Users/darencard/Zotero/storage/46PJXE9V/S096098221730711X.html","","","Squamata; snake; genome; evolution; reptile; sex chromosome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85AVW6CG","journalArticle","2015","Andrew, Audra L.; Card, Daren C.; Ruggiero, Robert P.; Schield, Drew R.; Adams, Richard H.; Pollock, David D.; Secor, Stephen M.; Castoe, Todd A.","Rapid changes in gene expression direct rapid shifts in intestinal form and function in the Burmese python after feeding","Physiological Genomics","","1094-8341","10.1152/physiolgenomics.00131.2014","http://www.physiology.org/doi/abs/10.1152/physiolgenomics.00131.2014","Snakes provide a unique and valuable model system for studying the extremes of physiological remodeling because of the ability of some species to rapidly upregulate organ form and function upon feeding. The predominant model species used to study such extreme responses has been the Burmese python because of the extreme nature of postfeeding response in this species. We analyzed the Burmese python intestine across a time series, before, during, and after feeding to understand the patterns and timing of changes in gene expression and their relationship to changes in intestinal form and function upon feeding. Our results indicate that >2,000 genes show significant changes in expression in the small intestine following feeding, including genes involved in intestinal morphology and function (e.g., hydrolases, microvillus proteins, trafficking and transport proteins), as well as genes involved in cell division and apoptosis. Extensive changes in gene expression occur surprisingly rapidly, within the first 6 h of feeding, coincide with changes in intestinal morphology, and effectively return to prefeeding levels within 10 days. Collectively, our results provide an unprecedented portrait of parallel changes in gene expression and intestinal morphology and physiology on a scale that is extreme both in the magnitude of changes, as well as in the incredibly short time frame of these changes, with up- and downregulation of expression and function occurring in the span of 10 days. Our results also identify conserved vertebrate signaling pathways that modulate these responses, which may suggest pathways for therapeutic modulation of intestinal function in humans.","2015-02-10","2018-01-23 00:57:10","2018-01-23 00:57:10","2018-01-23 00:57:09","147-157","","5","47","","Physiological Genomics","","","","","","","","","All rights reserved","","","","physiology.org (Atypon)","","","","/Users/darencard/Cloud_Drives/Box_Sync/Zotero_library/AndrewAA_2015_Physiological_Genomics_Rapid_changes_in_gene_expression_direct_rapid_shifts_in_intestinal_form_and_function_in_the_Burmese_python_after_feeding.pdf; /Users/darencard/Zotero/storage/XFDC5W7B/physiolgenomics.00131.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
